Ecosystem	Package	Version	Scope	License	License files	Source
cargo	android_system_properties	0.1.5	cargo-lock	MIT/Apache-2.0		https://github.com/nical/android_system_properties
cargo	anyhow	1.0.103	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/anyhow
cargo	async-stream	0.3.6	cargo-lock	MIT		https://github.com/tokio-rs/async-stream
cargo	async-stream-impl	0.3.6	cargo-lock	MIT		https://github.com/tokio-rs/async-stream
cargo	async-trait	0.1.89	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/async-trait
cargo	atk	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk3-rs
cargo	atk-sys	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk3-rs
cargo	atomic-waker	1.1.2	cargo-lock	Apache-2.0 OR MIT		https://github.com/smol-rs/atomic-waker
cargo	autocfg	1.5.1	cargo-lock	Apache-2.0 OR MIT		https://github.com/cuviper/autocfg
cargo	axum	0.7.9	cargo-lock	MIT		https://github.com/tokio-rs/axum
cargo	axum-core	0.4.5	cargo-lock	MIT		https://github.com/tokio-rs/axum
cargo	base64	0.21.7	cargo-lock	MIT OR Apache-2.0		https://github.com/marshallpierce/rust-base64
cargo	base64	0.22.1	cargo-lock	MIT OR Apache-2.0		https://github.com/marshallpierce/rust-base64
cargo	bit-set	0.8.0	cargo-lock	Apache-2.0 OR MIT		https://github.com/contain-rs/bit-set
cargo	bit-vec	0.8.0	cargo-lock	Apache-2.0 OR MIT		https://github.com/contain-rs/bit-vec
cargo	bitflags	1.3.2	cargo-lock	MIT/Apache-2.0		https://github.com/bitflags/bitflags
cargo	bitflags	2.13.0	cargo-lock	MIT OR Apache-2.0		https://github.com/bitflags/bitflags
cargo	block-buffer	0.10.4	cargo-lock	MIT OR Apache-2.0		https://github.com/RustCrypto/utils
cargo	block2	0.6.2	cargo-lock	MIT		https://github.com/madsmtm/objc2
cargo	brotli	8.0.4	cargo-lock	BSD-3-Clause AND MIT		https://github.com/dropbox/rust-brotli
cargo	brotli-decompressor	5.0.3	cargo-lock	BSD-3-Clause/MIT		https://github.com/dropbox/rust-brotli-decompressor
cargo	bs58	0.5.1	cargo-lock	MIT/Apache-2.0		https://github.com/Nullus157/bs58-rs
cargo	bumpalo	3.20.3	cargo-lock	MIT OR Apache-2.0		https://github.com/fitzgen/bumpalo
cargo	bytemuck	1.25.0	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/Lokathor/bytemuck
cargo	byteorder	1.5.0	cargo-lock	Unlicense OR MIT		https://github.com/BurntSushi/byteorder
cargo	bytes	1.12.0	cargo-lock	MIT		https://github.com/tokio-rs/bytes
cargo	cairo-rs	0.18.5	cargo-lock	MIT		https://github.com/gtk-rs/gtk-rs-core
cargo	cairo-sys-rs	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk-rs-core
cargo	camino	1.2.4	cargo-lock	MIT OR Apache-2.0		https://github.com/camino-rs/camino
cargo	cargo-platform	0.1.9	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/cargo
cargo	cargo_metadata	0.19.2	cargo-lock	MIT		https://github.com/oli-obk/cargo_metadata
cargo	cargo_toml	0.22.3	cargo-lock	Apache-2.0 OR MIT		https://gitlab.com/lib.rs/cargo_toml
cargo	cc	1.2.66	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/cc-rs
cargo	cesu8	1.1.0	cargo-lock	Apache-2.0/MIT		https://github.com/emk/cesu8-rs
